UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_id,timestamp,operator_id,material_lot,ground_truth_label,failure_modes
8023,M08023,M,299.2,308.5,1725,37.1,82,0,0,0,0,0,0,LINE1-M02,2026-07-29T07:22:00,OP-101,MAT-8802,NORMAL,
8024,M08024,M,301.7,311.1,1761,27.3,85,0,0,0,0,0,0,LINE2-M01,2026-07-29T07:25:00,OP-103,MAT-8805,NORMAL,
8025,L08025,L,301.5,312.0,1168,29.0,87,0,0,0,0,0,0,LINE1-M02,2026-07-29T07:30:00,OP-103,MAT-8814,NORMAL,
8026,L08026,L,299.6,309.5,1696,55.2,89,1,0,0,1,0,0,LINE3-M02,2026-07-29T07:33:00,OP-100,MAT-8817,FAILURE,PWF
8027,H08027,H,299.3,309.8,1859,39.1,94,0,0,0,0,0,0,LINE2-M02,2026-07-29T07:36:00,OP-105,MAT-8818,NORMAL,
8028,L08028,L,302.9,313.0,1812,48.3,96,1,0,0,1,0,0,LINE2-M01,2026-07-29T07:39:00,OP-101,MAT-8818,FAILURE,PWF
8029,L08029,L,298.7,309.8,1168,29.1,98,0,0,0,0,0,0,LINE2-M01,2026-07-29T07:42:00,OP-111,MAT-8802,NORMAL,
8030,H08030,H,300.8,310.1,1219,37.6,103,0,0,0,0,0,0,LINE2-M01,2026-07-29T07:48:00,OP-106,MAT-8810,NORMAL,
8031,H08031,H,300.3,310.4,1607,47.3,108,0,0,0,0,0,0,LINE3-M02,2026-07-29T07:51:00,OP-106,MAT-8802,NORMAL,
8032,L08032,L,301.0,310.8,1532,31.7,110,0,0,0,0,0,0,LINE2-M02,2026-07-29T07:53:00,OP-105,MAT-8807,NORMAL,
8033,M08033,M,299.8,310.2,1296,50.5,113,0,0,0,0,0,0,LINE1-M02,2026-07-29T07:58:00,OP-104,MAT-8814,NORMAL,
8034,L08034,L,298.4,308.8,1663,47.0,115,0,0,0,0,0,0,LINE2-M01,2026-07-29T08:04:00,OP-110,MAT-8801,NORMAL,
8035,L08035,L,298.2,307.5,1632,37.8,117,0,0,0,0,0,0,LINE1-M01,2026-07-29T08:10:00,OP-107,MAT-8819,NORMAL,
8036,M08036,M,297.2,306.7,1851,21.3,120,0,0,0,0,0,0,LINE2-M02,2026-07-29T08:16:00,OP-110,MAT-8810,NORMAL,
8037,M08037,M,298.9,307.4,1491,39.0,123,0,0,0,0,0,0,LINE2-M02,2026-07-29T08:18:00,OP-105,MAT-8816,NORMAL,
8038,L08038,L,299.0,311.4,1659,48.5,125,0,0,0,0,0,0,LINE1-M02,2026-07-29T08:20:00,OP-105,MAT-8811,NORMAL,
8039,L08039,L,299.0,308.7,1555,27.7,127,0,0,0,0,0,0,LINE2-M02,2026-07-29T08:22:00,OP-110,MAT-8800,NORMAL,
8040,L08040,L,303.6,314.2,1468,51.2,129,0,0,0,0,0,0,LINE3-M01,2026-07-29T08:27:00,OP-110,MAT-8803,NORMAL,
8041,M08041,M,301.5,310.9,1379,37.7,132,0,0,0,0,0,0,LINE3-M01,2026-07-29T08:31:00,OP-108,MAT-8801,NORMAL,
8042,L08042,L,297.4,305.7,1852,46.4,134,0,0,0,0,0,0,LINE3-M01,2026-07-29T08:37:00,OP-107,MAT-8816,NORMAL,
8043,H08043,H,301.2,313.1,1572,35.4,139,0,0,0,0,0,0,LINE1-M02,2026-07-29T08:39:00,OP-110,MAT-8816,NORMAL,
8044,H08044,H,302.4,313.5,1788,24.6,144,0,0,0,0,0,0,LINE1-M01,2026-07-29T08:44:00,OP-111,MAT-8819,NORMAL,
8045,H08045,H,299.4,309.5,1402,48.1,149,0,0,0,0,0,0,LINE2-M02,2026-07-29T08:46:00,OP-102,MAT-8803,NORMAL,
8046,H08046,H,300.3,311.7,1797,43.5,154,0,0,0,0,0,0,LINE3-M01,2026-07-29T08:48:00,OP-105,MAT-8816,NORMAL,
8047,L08047,L,297.1,308.2,1580,37.7,156,0,0,0,0,0,0,LINE1-M01,2026-07-29T08:51:00,OP-110,MAT-8811,NORMAL,
8048,H08048,H,301.4,312.0,1267,24.5,161,1,0,0,1,0,0,LINE3-M02,2026-07-29T08:53:00,OP-108,MAT-8818,FAILURE,PWF
8049,L08049,L,301.0,311.2,1898,25.0,163,0,0,0,0,0,0,LINE1-M02,2026-07-29T08:56:00,OP-105,MAT-8808,NORMAL,
8050,H08050,H,300.4,310.0,1313,32.5,168,0,0,0,0,0,0,LINE1-M01,2026-07-29T08:59:00,OP-102,MAT-8809,NORMAL,
8051,H08051,H,299.6,311.8,1871,22.9,173,0,0,0,0,0,0,LINE1-M01,2026-07-29T09:02:00,OP-103,MAT-8812,NORMAL,
8052,L08052,L,303.5,314.4,1459,34.7,175,0,0,0,0,0,0,LINE3-M01,2026-07-29T09:07:00,OP-104,MAT-8815,NORMAL,
8053,M08053,M,298.8,309.7,1456,44.3,178,0,0,0,0,0,0,LINE3-M01,2026-07-29T09:09:00,OP-101,MAT-8800,NORMAL,
8054,L08054,L,299.6,308.0,1303,36.2,180,1,0,1,0,0,0,LINE2-M02,2026-07-29T09:15:00,OP-106,MAT-8815,FAILURE,HDF
8055,M08055,M,299.5,308.7,1760,24.3,183,0,0,0,0,0,0,LINE3-M02,2026-07-29T09:19:00,OP-108,MAT-8809,NORMAL,
8056,M08056,M,300.2,309.9,1604,45.5,186,0,0,0,0,0,0,LINE3-M01,2026-07-29T09:25:00,OP-103,MAT-8806,NORMAL,
8057,M08057,M,300.5,309.0,1748,40.8,189,0,0,0,0,0,0,LINE1-M02,2026-07-29T09:29:00,OP-100,MAT-8810,NORMAL,
8058,M08058,M,296.2,305.6,1353,52.9,192,0,0,0,0,0,0,LINE1-M02,2026-07-29T09:31:00,OP-103,MAT-8815,NORMAL,
8059,L08059,L,303.0,314.8,1430,48.8,194,0,0,0,0,0,0,LINE3-M02,2026-07-29T09:35:00,OP-110,MAT-8807,NORMAL,
8060,L08060,L,300.5,310.2,1454,41.7,196,0,0,0,0,0,0,LINE1-M01,2026-07-29T09:38:00,OP-104,MAT-8804,NORMAL,
8061,M08061,M,301.6,312.4,1357,27.2,199,0,0,0,0,0,0,LINE1-M01,2026-07-29T09:41:00,OP-106,MAT-8819,NORMAL,
8062,L08062,L,299.5,310.4,1942,33.9,201,0,0,0,0,0,0,LINE2-M01,2026-07-29T09:47:00,OP-102,MAT-8805,NORMAL,
8063,M08063,M,297.8,306.9,1433,25.9,204,0,0,0,0,0,0,LINE2-M01,2026-07-29T09:52:00,OP-101,MAT-8800,NORMAL,
8064,L08064,L,301.6,311.8,1542,52.2,206,0,0,0,0,0,0,LINE1-M02,2026-07-29T09:56:00,OP-105,MAT-8813,NORMAL,
8065,L08065,L,299.9,308.2,1881,36.1,208,1,1,0,0,0,0,LINE2-M02,2026-07-29T10:01:00,OP-109,MAT-8816,FAILURE,TWF
8066,L08066,L,300.6,309.0,1168,37.8,210,1,1,1,0,0,0,LINE1-M02,2026-07-29T10:07:00,OP-104,MAT-8805,FAILURE,"TWF,HDF"
8067,L08067,L,300.7,310.5,1376,61.3,212,1,0,0,0,1,0,LINE1-M01,2026-07-29T10:10:00,OP-110,MAT-8801,FAILURE,OSF
8068,M08068,M,302.4,312.3,1245,50.7,215,0,0,0,0,0,0,LINE1-M01,2026-07-29T10:16:00,OP-109,MAT-8810,NORMAL,
8069,L08069,L,301.3,309.8,1168,55.2,217,1,1,1,0,1,0,LINE2-M01,2026-07-29T10:21:00,OP-100,MAT-8800,FAILURE,"TWF,HDF,OSF"
8070,L08070,L,298.5,308.3,1226,29.9,219,1,1,0,0,0,0,LINE3-M01,2026-07-29T10:26:00,OP-103,MAT-8803,FAILURE,TWF
8071,L08071,L,296.8,307.2,1683,32.4,221,1,1,0,0,0,0,LINE1-M02,2026-07-29T10:30:00,OP-109,MAT-8813,FAILURE,TWF
8072,M08072,M,298.6,307.0,1549,34.5,224,0,0,0,0,0,0,LINE3-M01,2026-07-29T10:33:00,OP-105,MAT-8804,NORMAL,
8073,H08073,H,298.1,308.6,1714,40.8,229,1,1,0,0,0,0,LINE2-M01,2026-07-29T10:38:00,OP-103,MAT-8818,FAILURE,TWF
8074,M08074,M,301.9,312.5,1285,32.7,232,1,1,0,0,0,0,LINE1-M02,2026-07-29T10:42:00,OP-103,MAT-8802,FAILURE,TWF
8075,M08075,M,299.5,309.3,1447,44.9,235,1,1,0,0,0,0,LINE2-M01,2026-07-29T10:48:00,OP-111,MAT-8806,FAILURE,TWF
8076,L08076,L,299.7,310.1,1871,36.4,237,1,1,0,0,0,0,LINE1-M02,2026-07-29T10:52:00,OP-106,MAT-8807,FAILURE,TWF
8077,H08077,H,302.2,311.2,1267,32.3,0,0,0,0,0,0,0,LINE2-M01,2026-07-29T10:54:00,OP-106,MAT-8808,NORMAL,
8078,M08078,M,299.5,309.9,1450,39.8,3,0,0,0,0,0,0,LINE2-M02,2026-07-29T10:58:00,OP-104,MAT-8817,NORMAL,
8079,L08079,L,305.0,316.4,1916,44.8,5,0,0,0,0,0,0,LINE3-M02,2026-07-29T11:00:00,OP-100,MAT-8807,NORMAL,
8080,L08080,L,301.8,313.8,1687,34.0,7,0,0,0,0,0,0,LINE3-M02,2026-07-29T11:06:00,OP-102,MAT-8807,NORMAL,
8081,H08081,H,300.6,311.2,1524,32.9,12,0,0,0,0,0,0,LINE2-M01,2026-07-29T11:08:00,OP-106,MAT-8817,NORMAL,
8082,L08082,L,300.5,310.1,1822,49.7,14,1,0,0,1,0,0,LINE1-M01,2026-07-29T11:13:00,OP-104,MAT-8809,FAILURE,PWF
8083,L08083,L,302.3,311.3,1168,62.7,16,0,0,0,0,0,0,LINE1-M01,2026-07-29T11:18:00,OP-105,MAT-8811,NORMAL,
8084,L08084,L,299.5,308.7,1676,51.0,18,0,0,0,0,0,0,LINE2-M02,2026-07-29T11:24:00,OP-109,MAT-8805,NORMAL,
8085,M08085,M,297.7,307.3,1504,44.2,21,0,0,0,0,0,0,LINE2-M01,2026-07-29T11:28:00,OP-107,MAT-8807,NORMAL,
8086,L08086,L,301.6,311.2,1550,45.8,23,0,0,0,0,0,0,LINE2-M02,2026-07-29T11:32:00,OP-111,MAT-8800,NORMAL,
8087,M08087,M,303.3,315.0,1407,43.6,26,0,0,0,0,0,0,LINE3-M01,2026-07-29T11:34:00,OP-106,MAT-8800,NORMAL,
8088,M08088,M,300.0,309.8,1633,27.1,29,0,0,0,0,0,0,LINE3-M02,2026-07-29T11:36:00,OP-101,MAT-8803,NORMAL,
8089,L08089,L,303.8,313.3,1574,42.3,31,0,0,0,0,0,0,LINE1-M01,2026-07-29T11:39:00,OP-105,MAT-8816,NORMAL,
8090,H08090,H,302.5,311.0,1709,22.5,36,0,0,0,0,0,0,LINE1-M01,2026-07-29T11:41:00,OP-104,MAT-8816,NORMAL,
8091,M08091,M,303.6,313.7,1677,43.9,39,0,0,0,0,0,0,LINE2-M01,2026-07-29T11:45:00,OP-111,MAT-8802,NORMAL,
8092,L08092,L,301.0,310.9,1356,35.2,41,0,0,0,0,0,0,LINE2-M01,2026-07-29T11:51:00,OP-106,MAT-8819,NORMAL,
8093,M08093,M,296.6,305.8,1777,43.0,44,0,0,0,0,0,0,LINE2-M01,2026-07-29T11:53:00,OP-111,MAT-8819,NORMAL,
8094,H08094,H,299.1,310.8,1168,61.2,49,0,0,0,0,0,0,LINE2-M01,2026-07-29T11:58:00,OP-103,MAT-8818,NORMAL,
8095,L08095,L,298.0,309.1,1168,38.6,51,0,0,0,0,0,0,LINE3-M02,2026-07-29T12:02:00,OP-110,MAT-8817,NORMAL,
8096,H08096,H,299.7,308.2,1168,28.5,56,1,0,1,1,0,0,LINE2-M02,2026-07-29T12:08:00,OP-109,MAT-8814,FAILURE,"HDF,PWF"
8097,L08097,L,302.6,312.7,1790,47.1,58,0,0,0,0,0,0,LINE3-M01,2026-07-29T12:12:00,OP-108,MAT-8814,NORMAL,
8098,M08098,M,301.3,310.7,1598,34.4,61,0,0,0,0,0,0,LINE2-M02,2026-07-29T12:18:00,OP-107,MAT-8804,NORMAL,
8099,M08099,M,301.6,311.1,1578,44.6,64,0,0,0,0,0,0,LINE3-M01,2026-07-29T12:23:00,OP-103,MAT-8813,NORMAL,
8100,L08100,L,303.3,313.9,1416,50.0,66,0,0,0,0,0,0,LINE2-M01,2026-07-29T12:28:00,OP-107,MAT-8812,NORMAL,
8101,M08101,M,296.5,306.2,1403,38.9,69,0,0,0,0,0,0,LINE1-M01,2026-07-29T12:34:00,OP-107,MAT-8809,NORMAL,
8102,H08102,H,295.6,306.8,1637,27.9,74,0,0,0,0,0,0,LINE2-M01,2026-07-29T12:40:00,OP-111,MAT-8808,NORMAL,
8103,M08103,M,303.1,313.6,1168,54.9,77,0,0,0,0,0,0,LINE3-M01,2026-07-29T12:44:00,OP-111,MAT-8804,NORMAL,
8104,L08104,L,300.0,310.2,1440,42.6,79,0,0,0,0,0,0,LINE2-M01,2026-07-29T12:46:00,OP-101,MAT-8811,NORMAL,
8105,L08105,L,296.2,305.4,1913,30.4,81,0,0,0,0,0,0,LINE3-M01,2026-07-29T12:50:00,OP-104,MAT-8807,NORMAL,
8106,L08106,L,299.2,310.4,1714,50.1,83,0,0,0,0,0,0,LINE3-M02,2026-07-29T12:52:00,OP-110,MAT-8819,NORMAL,
8107,L08107,L,298.6,309.1,1252,39.6,85,0,0,0,0,0,0,LINE2-M01,2026-07-29T12:55:00,OP-105,MAT-8818,NORMAL,
8108,H08108,H,301.2,310.3,1848,55.7,90,1,0,0,1,0,0,LINE3-M01,2026-07-29T12:58:00,OP-104,MAT-8818,FAILURE,PWF
8109,L08109,L,298.0,308.2,1565,41.0,92,0,0,0,0,0,0,LINE2-M01,2026-07-29T13:00:00,OP-107,MAT-8815,NORMAL,
8110,L08110,L,296.9,307.2,1235,49.5,94,0,0,0,0,0,0,LINE1-M02,2026-07-29T13:03:00,OP-109,MAT-8803,NORMAL,
8111,M08111,M,301.2,310.5,1442,40.8,97,0,0,0,0,0,0,LINE2-M01,2026-07-29T13:06:00,OP-102,MAT-8807,NORMAL,
8112,M08112,M,302.3,311.2,1804,44.8,100,0,0,0,0,0,0,LINE3-M01,2026-07-29T13:12:00,OP-111,MAT-8802,NORMAL,
8113,L08113,L,298.0,308.0,1648,32.1,102,0,0,0,0,0,0,LINE3-M02,2026-07-29T13:16:00,OP-100,MAT-8819,NORMAL,
8114,L08114,L,302.4,312.3,1502,53.3,104,0,0,0,0,0,0,LINE1-M01,2026-07-29T13:21:00,OP-109,MAT-8817,NORMAL,
8115,L08115,L,296.7,304.4,1318,34.6,106,1,0,1,0,0,0,LINE2-M01,2026-07-29T13:27:00,OP-101,MAT-8811,FAILURE,HDF
8116,L08116,L,296.1,307.5,1594,17.4,108,1,0,0,1,0,0,LINE3-M02,2026-07-29T13:32:00,OP-111,MAT-8805,FAILURE,PWF
8117,M08117,M,301.3,312.3,1463,49.7,111,0,0,0,0,0,0,LINE3-M02,2026-07-29T13:37:00,OP-104,MAT-8812,NORMAL,
8118,M08118,M,298.0,307.4,1377,43.3,114,0,0,0,0,0,0,LINE2-M02,2026-07-29T13:41:00,OP-100,MAT-8813,NORMAL,
8119,L08119,L,301.4,312.3,1418,44.3,116,0,0,0,0,0,0,LINE2-M01,2026-07-29T13:46:00,OP-108,MAT-8802,NORMAL,
8120,L08120,L,298.4,308.8,1465,52.7,118,0,0,0,0,0,0,LINE3-M01,2026-07-29T13:48:00,OP-111,MAT-8813,NORMAL,
8121,M08121,M,301.7,311.9,1981,42.3,121,0,0,0,0,0,0,LINE1-M01,2026-07-29T13:51:00,OP-101,MAT-8804,NORMAL,
8122,M08122,M,298.7,309.1,1168,44.8,124,0,0,0,0,0,0,LINE2-M02,2026-07-29T13:55:00,OP-108,MAT-8806,NORMAL,
8123,H08123,H,299.7,308.8,1289,33.3,129,0,0,0,0,0,0,LINE2-M01,2026-07-29T14:01:00,OP-100,MAT-8807,NORMAL,
8124,M08124,M,297.5,307.8,1168,39.5,132,0,0,0,0,0,0,LINE1-M02,2026-07-29T14:07:00,OP-101,MAT-8816,NORMAL,
8125,L08125,L,299.8,310.0,1168,45.9,134,0,0,0,0,0,0,LINE1-M02,2026-07-29T14:12:00,OP-104,MAT-8809,NORMAL,
8126,M08126,M,299.0,310.2,1723,42.1,137,0,0,0,0,0,0,LINE2-M02,2026-07-29T14:16:00,OP-106,MAT-8802,NORMAL,
8127,L08127,L,303.7,313.1,1568,38.3,139,0,0,0,0,0,0,LINE1-M01,2026-07-29T14:21:00,OP-105,MAT-8809,NORMAL,
8128,L08128,L,298.5,308.7,1361,28.8,141,0,0,0,0,0,0,LINE1-M02,2026-07-29T14:25:00,OP-101,MAT-8814,NORMAL,
8129,L08129,L,301.5,312.0,1445,50.5,143,0,0,0,0,0,0,LINE3-M01,2026-07-29T14:31:00,OP-105,MAT-8817,NORMAL,
8130,L08130,L,299.3,308.6,1820,41.9,145,0,0,0,0,0,0,LINE2-M01,2026-07-29T14:34:00,OP-107,MAT-8806,NORMAL,
8131,L08131,L,300.7,310.0,1814,46.8,147,0,0,0,0,0,0,LINE2-M02,2026-07-29T14:36:00,OP-109,MAT-8819,NORMAL,
8132,L08132,L,297.4,307.4,1496,40.6,149,0,0,0,0,0,0,LINE3-M01,2026-07-29T14:42:00,OP-100,MAT-8800,NORMAL,
8133,M08133,M,298.7,309.8,1692,44.9,152,0,0,0,0,0,0,LINE1-M02,2026-07-29T14:46:00,OP-106,MAT-8803,NORMAL,
8134,M08134,M,301.4,312.3,1582,40.6,155,0,0,0,0,0,0,LINE1-M02,2026-07-29T14:51:00,OP-109,MAT-8801,NORMAL,
8135,M08135,M,296.5,306.1,1958,31.9,158,0,0,0,0,0,0,LINE1-M01,2026-07-29T14:57:00,OP-100,MAT-8819,NORMAL,
8136,H08136,H,300.4,311.8,1764,17.1,163,1,0,0,1,0,0,LINE3-M01,2026-07-29T15:03:00,OP-101,MAT-8812,FAILURE,PWF
8137,M08137,M,301.9,312.7,1385,38.6,166,0,0,0,0,0,0,LINE1-M01,2026-07-29T15:09:00,OP-110,MAT-8812,NORMAL,
8138,L08138,L,301.4,310.7,1168,34.1,168,0,0,0,0,0,0,LINE3-M01,2026-07-29T15:14:00,OP-100,MAT-8819,NORMAL,
8139,M08139,M,301.0,311.0,1506,23.7,171,0,0,0,0,0,0,LINE1-M01,2026-07-29T15:17:00,OP-108,MAT-8805,NORMAL,
8140,M08140,M,299.3,308.9,1458,44.1,174,0,0,0,0,0,0,LINE1-M02,2026-07-29T15:22:00,OP-111,MAT-8801,NORMAL,
8141,L08141,L,299.4,307.8,1624,43.3,176,0,0,0,0,0,0,LINE3-M02,2026-07-29T15:24:00,OP-102,MAT-8801,NORMAL,
8142,L08142,L,298.1,306.8,1335,58.7,178,0,0,0,0,0,0,LINE2-M02,2026-07-29T15:29:00,OP-107,MAT-8814,NORMAL,
8143,L08143,L,304.0,314.3,1643,53.9,180,1,0,0,1,0,0,LINE3-M02,2026-07-29T15:31:00,OP-108,MAT-8806,FAILURE,PWF
8144,H08144,H,300.2,310.6,1860,37.3,185,0,0,0,0,0,0,LINE2-M02,2026-07-29T15:37:00,OP-108,MAT-8818,NORMAL,
8145,M08145,M,303.4,312.5,1613,32.0,188,0,0,0,0,0,0,LINE1-M02,2026-07-29T15:43:00,OP-107,MAT-8800,NORMAL,
8146,L08146,L,298.1,308.9,1265,48.3,190,0,0,0,0,0,0,LINE2-M01,2026-07-29T15:48:00,OP-100,MAT-8806,NORMAL,
8147,M08147,M,303.0,313.0,1746,39.7,193,0,0,0,0,0,0,LINE2-M01,2026-07-29T15:50:00,OP-108,MAT-8817,NORMAL,
8148,M08148,M,296.8,304.6,1362,37.9,196,1,0,1,0,0,0,LINE1-M02,2026-07-29T15:52:00,OP-111,MAT-8817,FAILURE,HDF
8149,L08149,L,299.6,308.7,1170,39.2,198,0,0,0,0,0,0,LINE2-M02,2026-07-29T15:56:00,OP-101,MAT-8808,NORMAL,
8150,L08150,L,302.2,311.3,1449,57.9,200,1,0,0,0,1,0,LINE2-M02,2026-07-29T15:59:00,OP-100,MAT-8803,FAILURE,OSF
8151,H08151,H,302.7,311.4,1442,30.6,205,0,0,0,0,0,0,LINE2-M01,2026-07-29T16:05:00,OP-110,MAT-8811,NORMAL,
8152,L08152,L,299.4,309.5,1500,43.7,207,0,0,0,0,0,0,LINE1-M02,2026-07-29T16:11:00,OP-100,MAT-8808,NORMAL,
8153,L08153,L,301.2,311.2,1564,60.6,209,1,0,0,1,1,0,LINE1-M01,2026-07-29T16:13:00,OP-109,MAT-8810,FAILURE,"PWF,OSF"
8154,L08154,L,301.8,311.5,1489,39.0,211,0,0,0,0,0,0,LINE2-M02,2026-07-29T16:17:00,OP-107,MAT-8809,NORMAL,
8155,H08155,H,303.1,310.6,1470,44.6,216,0,0,0,0,0,0,LINE1-M01,2026-07-29T16:19:00,OP-108,MAT-8812,NORMAL,
8156,M08156,M,297.7,309.2,1253,27.7,219,1,1,0,0,0,0,LINE1-M01,2026-07-29T16:25:00,OP-100,MAT-8813,FAILURE,TWF
8157,L08157,L,295.0,305.1,1696,43.4,221,1,1,0,0,0,0,LINE1-M02,2026-07-29T16:30:00,OP-109,MAT-8801,FAILURE,TWF
8158,M08158,M,301.3,311.2,1299,29.9,224,1,1,0,0,0,0,LINE2-M01,2026-07-29T16:34:00,OP-104,MAT-8816,FAILURE,TWF
8159,L08159,L,299.5,309.1,1629,44.4,226,1,1,0,0,0,0,LINE3-M02,2026-07-29T16:38:00,OP-105,MAT-8814,FAILURE,TWF
8160,L08160,L,300.6,310.2,1556,62.1,228,1,1,0,1,1,0,LINE2-M02,2026-07-29T16:44:00,OP-100,MAT-8804,FAILURE,"TWF,PWF,OSF"
8161,L08161,L,302.7,312.5,1168,34.5,230,0,0,0,0,0,0,LINE2-M01,2026-07-29T16:47:00,OP-109,MAT-8811,NORMAL,
8162,M08162,M,301.8,311.7,1487,32.6,233,1,1,0,0,0,0,LINE1-M01,2026-07-29T16:52:00,OP-107,MAT-8801,FAILURE,TWF
8163,L08163,L,302.3,312.1,1528,38.9,235,1,1,0,0,0,0,LINE2-M01,2026-07-29T16:55:00,OP-100,MAT-8803,FAILURE,TWF
8164,H08164,H,299.2,309.5,1845,38.9,240,1,1,0,0,0,0,LINE1-M01,2026-07-29T17:01:00,OP-108,MAT-8809,FAILURE,TWF
8165,L08165,L,301.1,309.2,1298,42.7,0,1,0,1,0,0,0,LINE2-M01,2026-07-29T17:05:00,OP-109,MAT-8800,FAILURE,HDF
8166,L08166,L,295.9,303.4,1667,36.0,2,0,0,0,0,0,0,LINE2-M02,2026-07-29T17:08:00,OP-103,MAT-8803,NORMAL,
8167,L08167,L,298.3,308.1,1580,48.5,4,0,0,0,0,0,0,LINE2-M01,2026-07-29T17:11:00,OP-110,MAT-8811,NORMAL,
8168,L08168,L,298.8,309.4,1995,40.3,6,0,0,0,0,0,0,LINE3-M02,2026-07-29T17:14:00,OP-100,MAT-8803,NORMAL,
8169,H08169,H,301.9,312.5,1607,27.1,11,0,0,0,0,0,0,LINE3-M02,2026-07-29T17:19:00,OP-110,MAT-8801,NORMAL,
8170,L08170,L,299.0,308.0,1527,45.0,13,0,0,0,0,0,0,LINE2-M01,2026-07-29T17:22:00,OP-109,MAT-8817,NORMAL,
8171,L08171,L,297.7,309.1,1779,31.4,15,0,0,0,0,0,0,LINE3-M01,2026-07-29T17:25:00,OP-111,MAT-8809,NORMAL,
8172,L08172,L,299.6,311.1,1317,30.8,17,0,0,0,0,0,0,LINE1-M01,2026-07-29T17:28:00,OP-100,MAT-8812,NORMAL,
8173,L08173,L,301.6,311.6,1683,63.7,19,1,0,0,1,0,0,LINE3-M01,2026-07-29T17:30:00,OP-107,MAT-8815,FAILURE,PWF
8174,H08174,H,301.8,312.0,1571,63.4,24,1,0,0,1,0,0,LINE1-M02,2026-07-29T17:32:00,OP-102,MAT-8804,FAILURE,PWF
