UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,machine_id,timestamp,operator_id,material_lot
23,L00023,L,297.9,308.4,1497,55.5,73,0,0,0,0,0,0,LINE2-M01,2026-06-01T07:38:00,OP-110,MAT-8803
24,M00024,M,298.3,309.0,1766,41.8,76,0,0,0,0,0,0,LINE1-M01,2026-06-01T07:41:00,OP-108,MAT-8814
25,H00025,H,302.7,315.2,1516,37.8,81,0,0,0,0,0,0,LINE2-M01,2026-06-01T07:43:00,OP-100,MAT-8817
26,H00026,H,298.8,308.0,1881,41.7,86,0,0,0,0,0,0,LINE2-M02,2026-06-01T07:46:00,OP-107,MAT-8806
27,M00027,M,298.6,308.8,1525,32.7,89,0,0,0,0,0,0,LINE2-M02,2026-06-01T07:51:00,OP-104,MAT-8813
28,L00028,L,294.2,303.4,1636,35.1,91,0,0,0,0,0,0,LINE1-M01,2026-06-01T07:54:00,OP-111,MAT-8810
29,M00029,M,300.8,311.7,1225,43.7,94,0,0,0,0,0,0,LINE1-M01,2026-06-01T08:00:00,OP-108,MAT-8802
30,L00030,L,300.6,310.7,1523,39.5,96,0,0,0,0,0,0,LINE1-M01,2026-06-01T08:05:00,OP-109,MAT-8819
31,M00031,M,299.5,312.2,1540,31.1,99,0,0,0,0,0,0,LINE2-M02,2026-06-01T08:11:00,OP-103,MAT-8810
32,M00032,M,296.4,306.2,1301,46.7,102,0,0,0,0,0,0,LINE2-M01,2026-06-01T08:16:00,OP-100,MAT-8814
33,L00033,L,299.1,309.9,1775,34.4,104,0,0,0,0,0,0,LINE3-M02,2026-06-01T08:19:00,OP-102,MAT-8811
34,L00034,L,302.2,311.9,1611,28.3,106,0,0,0,0,0,0,LINE3-M02,2026-06-01T08:25:00,OP-109,MAT-8816
35,M00035,M,300.7,311.3,1797,48.2,109,1,0,0,1,0,0,LINE1-M02,2026-06-01T08:27:00,OP-101,MAT-8803
36,L00036,L,301.3,309.9,1384,45.9,111,0,0,0,0,0,0,LINE2-M01,2026-06-01T08:32:00,OP-101,MAT-8813
37,M00037,M,299.4,310.2,1233,39.8,114,0,0,0,0,0,0,LINE1-M02,2026-06-01T08:36:00,OP-108,MAT-8813
38,L00038,L,300.3,310.4,1497,21.2,116,1,0,0,1,0,0,LINE3-M01,2026-06-01T08:39:00,OP-105,MAT-8818
39,L00039,L,298.5,308.7,1388,34.4,118,0,0,0,0,0,0,LINE3-M01,2026-06-01T08:42:00,OP-110,MAT-8803
40,L00040,L,297.4,305.4,1657,47.1,120,0,0,0,0,0,0,LINE3-M01,2026-06-01T08:48:00,OP-103,MAT-8805
41,H00041,H,298.5,310.2,1460,37.1,125,0,0,0,0,0,0,LINE2-M01,2026-06-01T08:52:00,OP-104,MAT-8805
42,L00042,L,300.5,312.7,1288,60.9,127,0,0,0,0,0,0,LINE2-M02,2026-06-01T08:55:00,OP-104,MAT-8807
43,L00043,L,302.5,311.8,1590,47.0,129,0,0,0,0,0,0,LINE2-M02,2026-06-01T08:57:00,OP-110,MAT-8816
44,M00044,M,298.9,310.0,2018,30.9,132,0,0,0,0,0,0,LINE1-M02,2026-06-01T08:59:00,OP-102,MAT-8818
45,M00045,M,299.7,309.2,1434,64.0,135,1,0,0,1,0,0,LINE2-M01,2026-06-01T09:03:00,OP-106,MAT-8818
46,M00046,M,300.7,311.6,1518,50.2,138,0,0,0,0,0,0,LINE1-M02,2026-06-01T09:08:00,OP-109,MAT-8810
47,L00047,L,301.4,311.5,1611,38.0,140,0,0,0,0,0,0,LINE2-M02,2026-06-01T09:13:00,OP-111,MAT-8809
48,L00048,L,298.9,307.6,1514,35.6,142,0,0,0,0,0,0,LINE3-M02,2026-06-01T09:16:00,OP-106,MAT-8817
49,L00049,L,298.8,309.6,1295,34.7,144,0,0,0,0,0,0,LINE3-M02,2026-06-01T09:22:00,OP-107,MAT-8814
50,L00050,L,300.9,310.8,1221,56.1,146,0,0,0,0,0,0,LINE3-M01,2026-06-01T09:25:00,OP-104,MAT-8816
51,H00051,H,296.4,305.2,1448,52.0,151,0,0,0,0,0,0,LINE3-M02,2026-06-01T09:28:00,OP-103,MAT-8806
52,L00052,L,302.3,313.2,1304,28.1,153,0,0,0,0,0,0,LINE2-M02,2026-06-01T09:30:00,OP-110,MAT-8818
53,H00053,H,301.4,311.1,1630,37.7,158,0,0,0,0,0,0,LINE3-M01,2026-06-01T09:33:00,OP-101,MAT-8813
54,L00054,L,302.2,314.3,1363,43.6,160,0,0,0,0,0,0,LINE3-M01,2026-06-01T09:35:00,OP-101,MAT-8814
55,L00055,L,295.8,307.6,1784,45.8,162,0,0,0,0,0,0,LINE2-M02,2026-06-01T09:41:00,OP-109,MAT-8816
56,M00056,M,300.2,310.3,1455,52.2,165,0,0,0,0,0,0,LINE2-M02,2026-06-01T09:46:00,OP-103,MAT-8808
57,H00057,H,299.1,309.3,1237,28.0,170,0,0,0,0,0,0,LINE1-M02,2026-06-01T09:50:00,OP-105,MAT-8810
58,H00058,H,296.5,307.6,1548,58.2,175,1,0,0,1,0,0,LINE3-M01,2026-06-01T09:53:00,OP-101,MAT-8813
59,H00059,H,300.0,309.0,1631,36.1,180,0,0,0,0,0,0,LINE3-M02,2026-06-01T09:55:00,OP-107,MAT-8800
60,M00060,M,301.1,311.8,1232,49.8,183,0,0,0,0,0,0,LINE3-M01,2026-06-01T10:00:00,OP-107,MAT-8807
61,L00061,L,299.3,309.8,1262,51.7,185,0,0,0,0,0,0,LINE3-M01,2026-06-01T10:05:00,OP-107,MAT-8804
62,L00062,L,299.1,309.3,1345,35.7,187,0,0,0,0,0,0,LINE1-M02,2026-06-01T10:07:00,OP-102,MAT-8814
63,M00063,M,301.7,311.9,1956,28.3,190,0,0,0,0,0,0,LINE2-M02,2026-06-01T10:11:00,OP-104,MAT-8813
64,M00064,M,297.3,306.7,1768,24.5,193,0,0,0,0,0,0,LINE2-M01,2026-06-01T10:13:00,OP-110,MAT-8802
65,M00065,M,296.2,306.6,1599,48.9,196,0,0,0,0,0,0,LINE3-M01,2026-06-01T10:15:00,OP-103,MAT-8804
66,L00066,L,299.8,310.4,1925,38.1,198,0,0,0,0,0,0,LINE2-M01,2026-06-01T10:19:00,OP-109,MAT-8819
67,H00067,H,302.4,311.9,1334,54.9,203,0,0,0,0,0,0,LINE1-M02,2026-06-01T10:25:00,OP-109,MAT-8812
68,M00068,M,300.4,309.9,1746,40.3,206,0,0,0,0,0,0,LINE1-M02,2026-06-01T10:28:00,OP-110,MAT-8819
69,M00069,M,299.4,307.8,1168,48.0,209,1,0,1,0,0,0,LINE2-M02,2026-06-01T10:34:00,OP-101,MAT-8816
70,L00070,L,300.0,309.6,1946,35.5,211,0,0,0,0,0,0,LINE2-M01,2026-06-01T10:37:00,OP-111,MAT-8816
71,M00071,M,302.1,312.3,1241,39.4,214,1,1,0,0,0,0,LINE2-M02,2026-06-01T10:42:00,OP-105,MAT-8807
72,M00072,M,300.4,310.4,1764,50.6,217,1,1,0,1,0,0,LINE2-M02,2026-06-01T10:44:00,OP-102,MAT-8815
73,L00073,L,303.0,313.1,1706,24.6,219,0,0,0,0,0,0,LINE3-M01,2026-06-01T10:46:00,OP-101,MAT-8807
74,M00074,M,302.4,312.3,1565,34.7,222,1,1,0,0,0,0,LINE2-M01,2026-06-01T10:51:00,OP-101,MAT-8809
75,L00075,L,300.7,309.8,1189,31.9,224,1,1,0,0,0,0,LINE2-M02,2026-06-01T10:57:00,OP-111,MAT-8814
76,H00076,H,297.3,307.8,1418,51.1,229,0,0,0,0,0,0,LINE3-M02,2026-06-01T11:00:00,OP-104,MAT-8818
77,L00077,L,299.8,308.8,1429,28.6,231,1,1,0,0,0,0,LINE1-M02,2026-06-01T11:04:00,OP-102,MAT-8809
78,L00078,L,303.9,313.7,1261,42.3,233,1,1,0,0,0,0,LINE1-M01,2026-06-01T11:09:00,OP-109,MAT-8809
79,H00079,H,298.5,309.1,1417,28.4,238,0,0,0,0,0,0,LINE2-M02,2026-06-01T11:11:00,OP-101,MAT-8818
80,M00080,M,303.6,313.9,1508,32.1,0,0,0,0,0,0,0,LINE1-M01,2026-06-01T11:15:00,OP-101,MAT-8817
81,M00081,M,299.7,308.7,1168,44.7,3,0,0,0,0,0,0,LINE2-M02,2026-06-01T11:21:00,OP-107,MAT-8809
82,L00082,L,302.4,312.6,1293,32.9,5,0,0,0,0,0,0,LINE3-M01,2026-06-01T11:27:00,OP-103,MAT-8806
83,M00083,M,302.1,312.8,1191,42.4,8,0,0,0,0,0,0,LINE1-M01,2026-06-01T11:29:00,OP-106,MAT-8814
84,M00084,M,303.0,315.0,1299,30.2,11,0,0,0,0,0,0,LINE3-M02,2026-06-01T11:33:00,OP-101,MAT-8807
85,M00085,M,297.2,307.8,1360,36.2,14,0,0,0,0,0,0,LINE2-M01,2026-06-01T11:36:00,OP-108,MAT-8807
86,H00086,H,300.3,311.2,1608,43.7,19,0,0,0,0,0,0,LINE2-M02,2026-06-01T11:39:00,OP-107,MAT-8803
87,H00087,H,304.1,315.7,2030,28.1,24,0,0,0,0,0,0,LINE3-M02,2026-06-01T11:45:00,OP-107,MAT-8802
88,M00088,M,301.3,310.5,1903,39.4,27,0,0,0,0,0,0,LINE1-M01,2026-06-01T11:49:00,OP-103,MAT-8818
89,M00089,M,299.9,308.7,1430,41.0,30,0,0,0,0,0,0,LINE3-M01,2026-06-01T11:53:00,OP-102,MAT-8815
90,M00090,M,297.2,307.4,1269,44.5,33,0,0,0,0,0,0,LINE2-M02,2026-06-01T11:59:00,OP-101,MAT-8815
91,M00091,M,298.6,311.0,1168,32.3,36,0,0,0,0,0,0,LINE2-M02,2026-06-01T12:02:00,OP-111,MAT-8815
92,M00092,M,301.4,311.3,1719,36.4,39,0,0,0,0,0,0,LINE2-M01,2026-06-01T12:04:00,OP-105,MAT-8808
93,H00093,H,300.7,310.3,1381,36.6,44,0,0,0,0,0,0,LINE3-M02,2026-06-01T12:06:00,OP-106,MAT-8801
94,L00094,L,301.5,311.7,1833,20.3,46,0,0,0,0,0,0,LINE1-M01,2026-06-01T12:11:00,OP-104,MAT-8817
95,L00095,L,298.6,306.4,1624,30.6,48,0,0,0,0,0,0,LINE1-M01,2026-06-01T12:13:00,OP-111,MAT-8805
96,L00096,L,301.4,309.1,1168,57.0,50,1,0,1,0,0,0,LINE2-M01,2026-06-01T12:15:00,OP-110,MAT-8804
97,L00097,L,301.0,312.2,2300,34.4,52,0,0,0,0,0,0,LINE2-M01,2026-06-01T12:18:00,OP-106,MAT-8806
98,M00098,M,301.9,312.6,1573,35.2,55,0,0,0,0,0,0,LINE2-M02,2026-06-01T12:22:00,OP-108,MAT-8808
99,H00099,H,302.1,311.6,1368,31.3,60,0,0,0,0,0,0,LINE1-M02,2026-06-01T12:27:00,OP-108,MAT-8815
100,L00100,L,302.8,312.3,1583,38.0,62,0,0,0,0,0,0,LINE1-M01,2026-06-01T12:31:00,OP-109,MAT-8812
101,L00101,L,297.9,307.4,1589,47.6,64,0,0,0,0,0,0,LINE3-M02,2026-06-01T12:36:00,OP-106,MAT-8804
102,L00102,L,301.5,311.7,1404,31.4,66,0,0,0,0,0,0,LINE1-M02,2026-06-01T12:40:00,OP-101,MAT-8816
103,M00103,M,301.0,311.2,1388,45.6,69,0,0,0,0,0,0,LINE1-M02,2026-06-01T12:43:00,OP-104,MAT-8810
104,L00104,L,299.3,308.8,1168,38.4,71,0,0,0,0,0,0,LINE2-M02,2026-06-01T12:49:00,OP-110,MAT-8815
105,H00105,H,305.1,315.6,1359,39.8,76,0,0,0,0,0,0,LINE1-M01,2026-06-01T12:53:00,OP-106,MAT-8803
106,M00106,M,298.2,308.4,1752,35.5,79,0,0,0,0,0,0,LINE1-M01,2026-06-01T12:57:00,OP-105,MAT-8801
107,L00107,L,299.3,311.0,1419,25.6,81,0,0,0,0,0,0,LINE3-M01,2026-06-01T13:02:00,OP-102,MAT-8805
108,M00108,M,302.1,311.4,1427,33.4,84,0,0,0,0,0,0,LINE3-M01,2026-06-01T13:07:00,OP-103,MAT-8814
109,L00109,L,298.4,308.2,1463,41.9,86,0,0,0,0,0,0,LINE2-M01,2026-06-01T13:12:00,OP-101,MAT-8814
110,L00110,L,302.7,312.4,1406,19.5,88,1,0,0,1,0,0,LINE2-M02,2026-06-01T13:16:00,OP-103,MAT-8812
111,M00111,M,302.8,310.1,1229,29.8,91,1,0,1,0,0,0,LINE2-M01,2026-06-01T13:21:00,OP-109,MAT-8801
112,L00112,L,300.2,310.0,1655,35.8,93,0,0,0,0,0,0,LINE1-M01,2026-06-01T13:25:00,OP-109,MAT-8808
113,L00113,L,301.0,310.2,1452,40.7,95,0,0,0,0,0,0,LINE2-M01,2026-06-01T13:29:00,OP-109,MAT-8811
114,L00114,L,305.1,315.2,1556,20.7,97,1,0,0,1,0,0,LINE1-M01,2026-06-01T13:32:00,OP-108,MAT-8811
115,L00115,L,301.6,310.7,1835,39.8,99,0,0,0,0,0,0,LINE1-M02,2026-06-01T13:36:00,OP-101,MAT-8804
116,L00116,L,296.6,305.7,1522,32.7,101,0,0,0,0,0,0,LINE2-M01,2026-06-01T13:42:00,OP-106,MAT-8800
117,L00117,L,300.7,309.4,1586,37.5,103,0,0,0,0,0,0,LINE3-M02,2026-06-01T13:46:00,OP-110,MAT-8811
118,L00118,L,299.1,310.2,1679,31.9,105,0,0,0,0,0,0,LINE2-M01,2026-06-01T13:52:00,OP-110,MAT-8802
119,L00119,L,301.9,311.9,1361,54.6,107,0,0,0,0,0,0,LINE1-M01,2026-06-01T13:57:00,OP-100,MAT-8801
120,M00120,M,298.4,310.0,2039,23.7,110,0,0,0,0,0,0,LINE1-M02,2026-06-01T14:03:00,OP-107,MAT-8811
121,M00121,M,298.9,308.1,1546,29.8,113,0,0,0,0,0,0,LINE3-M01,2026-06-01T14:08:00,OP-107,MAT-8819
122,L00122,L,303.6,313.6,1229,33.1,115,0,0,0,0,0,0,LINE2-M02,2026-06-01T14:11:00,OP-103,MAT-8811
123,M00123,M,298.0,308.5,1615,47.1,118,0,0,0,0,0,0,LINE1-M02,2026-06-01T14:15:00,OP-104,MAT-8806
124,L00124,L,300.7,310.6,1581,51.4,120,0,0,0,0,0,0,LINE3-M01,2026-06-01T14:18:00,OP-100,MAT-8810
125,L00125,L,298.1,310.7,1532,41.6,122,0,0,0,0,0,0,LINE1-M01,2026-06-01T14:24:00,OP-103,MAT-8810
126,L00126,L,297.5,307.6,1456,42.7,124,0,0,0,0,0,0,LINE1-M02,2026-06-01T14:27:00,OP-102,MAT-8803
127,L00127,L,299.3,309.5,1413,37.3,126,0,0,0,0,0,0,LINE2-M01,2026-06-01T14:33:00,OP-102,MAT-8808
128,M00128,M,298.4,308.3,1189,35.9,129,0,0,0,0,0,0,LINE2-M02,2026-06-01T14:35:00,OP-105,MAT-8816
129,L00129,L,299.9,310.5,1677,25.2,131,0,0,0,0,0,0,LINE3-M02,2026-06-01T14:37:00,OP-107,MAT-8800
130,M00130,M,301.6,312.5,1575,39.5,134,0,0,0,0,0,0,LINE2-M02,2026-06-01T14:39:00,OP-101,MAT-8802
131,L00131,L,301.6,311.7,1644,36.7,136,0,0,0,0,0,0,LINE3-M02,2026-06-01T14:45:00,OP-106,MAT-8819
132,M00132,M,302.7,310.0,1795,50.6,139,1,0,0,1,0,0,LINE3-M01,2026-06-01T14:47:00,OP-106,MAT-8814
133,L00133,L,297.9,309.2,1284,43.1,141,0,0,0,0,0,0,LINE3-M02,2026-06-01T14:51:00,OP-105,MAT-8804
134,M00134,M,302.5,313.3,1168,50.0,144,0,0,0,0,0,0,LINE3-M02,2026-06-01T14:53:00,OP-102,MAT-8817
135,L00135,L,300.2,311.3,1331,55.4,146,0,0,0,0,0,0,LINE2-M02,2026-06-01T14:55:00,OP-110,MAT-8813
136,M00136,M,298.6,307.1,1580,32.7,149,0,0,0,0,0,0,LINE3-M01,2026-06-01T15:01:00,OP-102,MAT-8815
137,L00137,L,299.4,308.6,1387,30.4,151,0,0,0,0,0,0,LINE2-M01,2026-06-01T15:03:00,OP-106,MAT-8817
138,L00138,L,299.5,308.6,1424,48.6,153,0,0,0,0,0,0,LINE1-M01,2026-06-01T15:07:00,OP-104,MAT-8809
139,H00139,H,299.9,310.6,1282,45.6,158,0,0,0,0,0,0,LINE1-M01,2026-06-01T15:12:00,OP-111,MAT-8800
140,L00140,L,299.0,309.6,1453,35.4,160,0,0,0,0,0,0,LINE1-M02,2026-06-01T15:16:00,OP-104,MAT-8810
141,M00141,M,299.0,308.8,1492,28.3,163,0,0,0,0,0,0,LINE1-M01,2026-06-01T15:22:00,OP-104,MAT-8814
142,H00142,H,299.8,310.7,1685,45.4,168,0,0,0,0,0,0,LINE1-M02,2026-06-01T15:28:00,OP-106,MAT-8803
143,M00143,M,298.8,308.4,1825,40.7,171,0,0,0,0,0,0,LINE1-M01,2026-06-01T15:32:00,OP-106,MAT-8819
144,M00144,M,298.1,307.2,1484,33.8,174,0,0,0,0,0,0,LINE2-M02,2026-06-01T15:35:00,OP-105,MAT-8803
145,M00145,M,293.0,303.0,1849,40.6,177,0,0,0,0,0,0,LINE3-M01,2026-06-01T15:41:00,OP-108,MAT-8817
146,M00146,M,300.8,311.4,1910,37.4,180,0,0,0,0,0,0,LINE2-M01,2026-06-01T15:43:00,OP-105,MAT-8818
147,H00147,H,301.6,312.1,1593,50.9,185,0,0,0,0,0,0,LINE2-M01,2026-06-01T15:45:00,OP-105,MAT-8805
148,L00148,L,302.1,312.0,1716,36.7,187,0,0,0,0,0,0,LINE1-M01,2026-06-01T15:50:00,OP-106,MAT-8818
149,H00149,H,299.5,309.5,1581,24.5,192,0,0,0,0,0,0,LINE1-M02,2026-06-01T15:54:00,OP-102,MAT-8802
150,L00150,L,299.6,309.8,1837,34.9,194,0,0,0,0,0,0,LINE2-M01,2026-06-01T15:58:00,OP-103,MAT-8803
151,H00151,H,299.1,309.3,1838,27.0,199,0,0,0,0,0,0,LINE1-M02,2026-06-01T16:00:00,OP-107,MAT-8818
152,L00152,L,298.8,310.7,1723,55.5,201,1,0,0,1,1,0,LINE2-M02,2026-06-01T16:06:00,OP-102,MAT-8814
153,L00153,L,303.1,313.0,1452,59.2,203,1,1,0,1,1,0,LINE2-M02,2026-06-01T16:08:00,OP-107,MAT-8801
154,L00154,L,300.2,311.4,1400,49.6,205,0,0,0,0,0,0,LINE3-M02,2026-06-01T16:14:00,OP-107,MAT-8818
155,M00155,M,297.4,308.3,1824,36.4,208,0,0,0,0,0,0,LINE3-M01,2026-06-01T16:20:00,OP-105,MAT-8819
156,H00156,H,299.3,310.8,1302,29.9,213,1,1,0,0,0,0,LINE3-M01,2026-06-01T16:24:00,OP-108,MAT-8805
157,L00157,L,297.5,308.9,1500,51.2,215,1,0,0,0,1,0,LINE2-M02,2026-06-01T16:28:00,OP-106,MAT-8810
158,L00158,L,299.7,308.5,1411,40.9,217,0,0,0,0,0,0,LINE3-M01,2026-06-01T16:32:00,OP-105,MAT-8802
159,L00159,L,300.4,311.1,1573,53.8,219,1,0,0,0,1,0,LINE1-M01,2026-06-01T16:37:00,OP-104,MAT-8817
160,L00160,L,297.0,307.3,1557,29.6,221,1,1,0,0,0,0,LINE2-M01,2026-06-01T16:43:00,OP-105,MAT-8809
161,L00161,L,299.4,309.4,1833,30.5,223,0,0,0,0,0,0,LINE2-M01,2026-06-01T16:45:00,OP-108,MAT-8817
162,M00162,M,302.4,313.1,1660,47.2,226,1,1,0,0,0,0,LINE3-M02,2026-06-01T16:48:00,OP-102,MAT-8805
163,L00163,L,304.8,314.8,1888,54.7,228,1,1,0,1,1,0,LINE2-M01,2026-06-01T16:53:00,OP-107,MAT-8819
164,M00164,M,299.1,310.2,1604,29.4,231,1,1,0,0,0,0,LINE3-M02,2026-06-01T16:57:00,OP-107,MAT-8809
165,L00165,L,302.8,313.7,1785,31.3,233,1,1,0,0,0,0,LINE3-M02,2026-06-01T16:59:00,OP-105,MAT-8817
166,M00166,M,301.0,312.3,2002,33.9,236,1,1,0,0,0,0,LINE3-M01,2026-06-01T17:04:00,OP-106,MAT-8802
167,L00167,L,300.8,313.0,1516,41.9,238,1,1,0,0,0,0,LINE1-M02,2026-06-01T17:08:00,OP-101,MAT-8811
168,L00168,L,296.9,308.0,1678,36.5,240,1,1,0,0,0,0,LINE2-M02,2026-06-01T17:10:00,OP-111,MAT-8804
169,L00169,L,303.5,313.9,1559,40.7,0,0,0,0,0,0,0,LINE3-M02,2026-06-01T17:16:00,OP-101,MAT-8809
170,L00170,L,297.3,306.9,1302,45.1,2,0,0,0,0,0,0,LINE2-M01,2026-06-01T17:22:00,OP-101,MAT-8815
171,M00171,M,296.3,305.4,1168,62.7,5,0,0,0,0,0,0,LINE2-M02,2026-06-01T17:25:00,OP-100,MAT-8819
172,M00172,M,302.6,313.0,1224,28.6,8,0,0,0,0,0,0,LINE3-M02,2026-06-01T17:27:00,OP-101,MAT-8816
173,M00173,M,298.7,309.1,1498,42.6,11,0,0,0,0,0,0,LINE2-M01,2026-06-01T17:32:00,OP-110,MAT-8812
174,L00174,L,294.8,305.2,1683,31.2,13,0,0,0,0,0,0,LINE1-M01,2026-06-01T17:36:00,OP-109,MAT-8810
175,L00175,L,295.5,305.7,1231,45.3,15,0,0,0,0,0,0,LINE3-M02,2026-06-01T17:39:00,OP-111,MAT-8815
176,L00176,L,303.4,314.9,1191,36.9,17,0,0,0,0,0,0,LINE1-M02,2026-06-01T17:44:00,OP-103,MAT-8801
177,L00177,L,300.2,308.9,1639,34.0,19,0,0,0,0,0,0,LINE3-M02,2026-06-01T17:49:00,OP-104,MAT-8801
178,M00178,M,297.4,305.9,1237,54.2,22,1,0,1,0,0,0,LINE2-M01,2026-06-01T17:53:00,OP-105,MAT-8813
179,H00179,H,302.1,312.3,1880,35.0,27,0,0,0,0,0,0,LINE3-M02,2026-06-01T17:57:00,OP-101,MAT-8813
180,L00180,L,297.5,308.1,1554,30.6,29,0,0,0,0,0,0,LINE2-M01,2026-06-01T18:01:00,OP-101,MAT-8810
181,H00181,H,300.3,310.8,1399,51.7,34,0,0,0,0,0,0,LINE2-M02,2026-06-01T18:06:00,OP-100,MAT-8811
182,L00182,L,297.9,308.0,1863,38.3,36,0,0,0,0,0,0,LINE1-M02,2026-06-01T18:08:00,OP-105,MAT-8816
183,L00183,L,298.8,310.7,1570,41.6,38,0,0,0,0,0,0,LINE1-M01,2026-06-01T18:13:00,OP-101,MAT-8807
184,H00184,H,299.8,309.8,1549,34.4,43,0,0,0,0,0,0,LINE3-M02,2026-06-01T18:16:00,OP-105,MAT-8811
185,L00185,L,300.4,310.8,1460,47.0,45,0,0,0,0,0,0,LINE2-M02,2026-06-01T18:21:00,OP-103,MAT-8803
186,M00186,M,296.3,307.2,1190,31.4,48,0,0,0,0,0,0,LINE1-M02,2026-06-01T18:27:00,OP-104,MAT-8814
187,L00187,L,300.6,311.0,1927,41.1,50,0,0,0,0,0,0,LINE1-M01,2026-06-01T18:32:00,OP-102,MAT-8802
188,M00188,M,299.8,310.6,1645,34.9,53,0,0,0,0,0,0,LINE3-M02,2026-06-01T18:36:00,OP-111,MAT-8802
189,M00189,M,297.4,305.8,1232,57.7,56,1,0,1,0,0,0,LINE2-M01,2026-06-01T18:39:00,OP-101,MAT-8806
190,L00190,L,300.1,309.9,1652,28.3,58,0,0,0,0,0,0,LINE3-M01,2026-06-01T18:42:00,OP-101,MAT-8809
191,L00191,L,300.1,311.2,1420,40.4,60,0,0,0,0,0,0,LINE3-M01,2026-06-01T18:47:00,OP-102,MAT-8810
192,L00192,L,296.7,306.9,1168,37.3,62,0,0,0,0,0,0,LINE3-M01,2026-06-01T18:53:00,OP-102,MAT-8813
193,M00193,M,301.5,311.8,1498,39.4,65,0,0,0,0,0,0,LINE2-M01,2026-06-01T18:56:00,OP-102,MAT-8810
194,L00194,L,299.1,308.7,1629,62.4,67,1,0,0,1,0,0,LINE2-M01,2026-06-01T18:58:00,OP-110,MAT-8817
195,M00195,M,301.8,310.2,1475,49.6,70,0,0,0,0,0,0,LINE1-M01,2026-06-01T19:04:00,OP-110,MAT-8819
196,M00196,M,298.9,309.4,1660,32.1,73,0,0,0,0,0,0,LINE1-M01,2026-06-01T19:06:00,OP-110,MAT-8818
197,H00197,H,302.8,312.7,1396,41.5,78,0,0,0,0,0,0,LINE2-M02,2026-06-01T19:08:00,OP-110,MAT-8809
